ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,PROMEDIO DIARIO EN HORAS,LATITUD,LONGITUD
50,META,50325,MAPIRIPAN,50325000,2024,6,173757,58073.0,340.12,24.0,3.117523361,-71.93805692
52,NARIÑO,52250,EL CHARCO,52250016,2024,6,554,347.0,6.43,3.43,2.216382295,-77.99533234
52,NARIÑO,52250,EL CHARCO,52250005,2024,6,983,873.0,12.58,4.14,2.216382295,-77.99533234
52,NARIÑO,52250,EL CHARCO,52250007,2024,6,9682,2920.0,64.0,10.06,2.216382295,-77.99533234
52,NARIÑO,52390,LA TOLA,52390005,2024,6,783,189.0,9.5,3.27,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390013,2024,6,8842,2662.0,51.46,8.01,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390003,2024,6,4814,2215.0,21.64,9.5,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390009,2024,6,4251,2656.0,28.99,7.53,2.56027333,-78.23506694
52,NARIÑO,52390,LA TOLA,52390016,2024,6,5924,2122.0,26.3,10.03,2.56027333,-78.23506694
52,NARIÑO,52427,MAGÜÍ,52427913,2024,6,0,0.0,0.0,0.0,1.906858429,-78.04473644
52,NARIÑO,52427,MAGÜÍ,52427915,2024,6,0,0.0,0.0,0.0,1.906858429,-78.04473644
52,NARIÑO,52473,MOSQUERA,52473010,2024,6,1615,630.0,10.2,7.03,2.442493698,-78.438827
52,NARIÑO,52490,OLAYA HERRERA,52490913,2024,6,2168,656.0,13.7,6.19,2.287856547,-78.31219024
52,NARIÑO,52621,ROBERTO PAYAN,52621912,2024,6,4778,2999.0,23.02,8.54,1.897581156,-78.3811163
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835055,2024,6,7922,2975.0,48.0,7.19,1.574550638,-78.61540963
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,52835217,2024,6,23815,9302.0,105.6,10.42,1.574550638,-78.61540963
52,NARIÑO,52696,SANTA BÁRBARA,52696014,2024,6,3102,2058.0,21.73,6.28,2.494420411,-77.98256461
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,86573009,2024,6,2654,1590.0,22.4,5.3,0.05947197,-75.06479327
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109069,2024,6,7207,1312.0,28.95,11.01,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109105,2024,6,2427,656.0,9.86,9.42,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109028,2024,6,103108,35909.0,21.26,21.26,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109081,2024,6,2799,3112.0,21.03,6.28,3.493340766,-77.11872832
76,VALLE DEL CAUCA,76109,BUENAVENTURA,76109032,2024,6,8189,3084.0,42.59,9.29,3.493340766,-77.11872832
